word,IPA
අභිචෝදකයා,ʌ bʱ i ʧ oː d̪ ʌ k ʌ j
අංකනය,ʌŋ k ʌ n̪ ʌ j ə
අංකන,ʌŋ k ʌ n̪ ə
අංකය,ʌŋ k ʌ j ə
අංකාන්තරය,ʌŋ k aː n̪ t̪ ʌ r ʌ j ə
අංකිත,ʌŋ k i t̪ ə
අංකුට්ටා,ʌŋ k u ʈ ʈ
අංකුරමය,ʌŋ k u r ʌ m ʌ j ə
අංකුරය,ʌŋ k u r ʌ j ə
අංකුර,ʌŋ k u r ə
අංකුසය,ʌŋ k u s ʌ j ə
අංගණය,ʌŋ ɡ ʌ ɳ ʌ j ə
අංගණ,ʌŋ ɡ ʌ ɳ ə
අංගනය,ʌŋ ɡ ʌ n̪ ʌ j ə
අංගමාරය,ʌŋ ɡ ʌ m aː r ʌ j ə
අංගය,ʌŋ ɡ ʌ j ə
අංගරාග,ʌŋ ɡ ʌ r aː ɡ ə
අංගසමතාව,ʌŋ ɡ ʌ s ʌ m ʌ t̪ aː ʋ ə
අංගහාරය,ʌŋ ɡ ʌ h aː r ʌ j ə
අංගාරක්ෂක,ʌŋ ɡ aː r ʌ k ʂ ʌ k ə
අංගාරධර,ʌŋ ɡ aː r ʌ d̪ʱ ʌ r ə
අංග,ʌŋ ɡ ə
අංඟුලිකා,ʌŋ ŋɡ u l i k
අංජනම,ʌŋ ʤ ʌ n̪ ʌ m ə
අංශකය,ʌŋ ʃ ʌ k ʌ j ə
අංශචිත්‍රය,ʌŋ ʃ ʌ ʧ i t̪ ‍ r ʌ j ə
අංශභාගය,ʌŋ ʃ ʌ bʱ aː ɡ ʌ j ə
අංශභාගී,ʌŋ ʃ ʌ bʱ aː ɡ iː
අංශය,ʌŋ ʃ ʌ j ə
අංශික,ʌŋ ʃ i k ə
අංශීකරණය,ʌŋ ʃ iː k ʌ r ʌ ɳ ʌ j ə
අංශුමය,ʌŋ ʃ u m ʌ j ə
අංශුමාත්‍රය,ʌŋ ʃ u m aː t̪ ‍ r ʌ j ə
අංශුව,ʌŋ ʃ u ʋ ə
අංශු,ʌŋ ʃ u
අංශ,ʌŋ ʃ ə
අකටයුත්ත,ʌ k ʌ ʈ ʌ j u t̪ t̪ ə
අකණ්ඩ,ʌ k ʌ ɳ ɖ ə
අකමැත්තෙන්,ʌ k ʌ m æ t̪ t̪ e n̪
අකමැතිකම,ʌ k ʌ m æ t̪ i k ʌ m ə
අකරණය,ʌ k ʌ r ʌ ɳ ʌ j ə
අකරතැබ්බය,ʌ k ʌ r ʌ t̪ æ b b ʌ j ə
අකර්තෘක,ʌ k ʌ r t̪ ʌ ෘ k ə
අකර්මක,ʌ k ʌ r m ʌ k ə
අකරුණාවන්ත,ʌ k ʌ r u ɳ aː ʋ ʌ n̪ t̪ ə
අකරුණාව,ʌ k ʌ r u ɳ aː ʋ ə
අකරුණික,ʌ k ʌ r u ɳ i k ə
අකලංක,ʌ k ʌ l ʌ k ə
අකල්,ʌ k ʌ l
අක්කරය,ʌ k k ʌ r ʌ j ə
අක්කාරම්,ʌ k k aː r ʌ m
අක්කොළ,ʌ k k o ɭ ə
අක්දෙරිය,ʌ k d̪ e r i j ə
අක්මාව,ʌ k m aː ʋ ə
අක්මාශාකය,ʌ k m aː ʃ aː k ʌ j ə
අක්මාශාක,ʌ k m aː ʃ aː k ə
අක්වැටුම,ʌ k ʋ æ ʈ u m ə
අක්ෂකාස්ථිය,ʌ k ʂ ʌ k aː s t̪ʰ i j ə
අක්ෂමතාව,ʌ k ʂ ʌ m ʌ t̪ aː ʋ ə
අක්ෂම,ʌ k ʂ ʌ m ə
අක්ෂය,ʌ k ʂ ʌ j ə
අක්ෂරය,ʌ k ʂ ʌ r ʌ j ə
අක්ෂාංශය,ʌ k ʂ aː ʃ ʌ j ə
අක්ෂානුමිතික,ʌ k ʂ aː n̪ u m i t̪ i k ə
අක්ෂිය,ʌ k ʂ i j ə
අක්ෂි,ʌ k ʂ i
අක්ෂීය,ʌ k ʂ iː j ə
අක්සනය,ʌ k s ʌ n̪ ʌ j ə
අක්‍රමවත්ව,ʌ k ‍ r ʌ m ʌ ʋ ʌ t̪ ʋ ə
අක්‍රමවත්,ʌ k ‍ r ʌ m ʌ ʋ ʌ t̪
අක්‍රමානුකූල,ʌ k ‍ r ʌ m aː n̪ u k uː l ə
අක්‍රමිකතාව,ʌ k ‍ r ʌ m i k ʌ t̪ aː ʋ ə
අක්‍රමිකතා,ʌ k ‍ r ʌ m i k ʌ t̪
අක්‍රමිකව,ʌ k ‍ r ʌ m i k ʌ ʋ ə
අක්‍රමික,ʌ k ‍ r ʌ m i k ə
අක්‍රියතාව,ʌ k ‍ r i j ʌ t̪ aː ʋ ə
අක්‍රියවීම,ʌ k ‍ r i j ʌ ʋ iː m ə
අක්‍රියව,ʌ k ‍ r i j ʌ ʋ ə
අක්‍රිය,ʌ k ‍ r i j ə
අක්‍රීය,ʌ k ‍ r iː j ə
අක්‍රෝධ,ʌ k ‍ r oː d̪ʱ ə
අකාබනික,ʌ k aː b ʌ n̪ i k ə
අකායික,ʌ k aː j i k ə
අකාරක්ෂම,ʌ k aː r ʌ k ʂ ʌ m ə
අකාර්මික,ʌ k aː r m i k ə
අකාර්යක්ෂමතාව,ʌ k aː r j ʌ k ʂ ʌ m ʌ t̪ aː ʋ ə
අකාර්යක්ෂම,ʌ k aː r j ʌ k ʂ ʌ m ə
අකාරාදිකරණය,ʌ k aː r aː d̪ i k ʌ r ʌ ɳ ʌ j ə
අකාරාදිය,ʌ k aː r aː d̪ i j ə
අකාරුණ්‍ය,ʌ k aː r u ɳ ‍ j ə
අකාරුණික,ʌ k aː r u ɳ i k ə
අකාලයේ,ʌ k aː l ʌ j eː
අකාලික,ʌ k aː l i k ə
අකාල,ʌ k aː l ə
අකාශවසතුව,ʌ k aː ʃ ʌ ʋ ʌ s ʌ t̪ u ʋ ə
අකැමති,ʌ k æ m ʌ t̪ i
අකැමැත්ත,ʌ k æ m æ t̪ t̪ ə
අකැමැති,ʌ k æ m æ t̪ i
අකීකරුකම,ʌ k iː k ʌ r u k ʌ m ə
අකීකරු,ʌ k iː k ʌ r u
අකුඇටය,ʌ k u æ ʈ ʌ j ə
අකුටිලත්වය,ʌ k u ʈ i l ʌ t̪ ʋ ʌ j ə
අකුටිලභාවය,ʌ k u ʈ i l ʌ bʱ aː ʋ ʌ j ə
අකුටිල,ʌ k u ʈ i l ə
අකුණ,ʌ k u ɳ ə
අකුර,ʌ k u r ə
අකුල,ʌ k u l ə
අකුසලය,ʌ k u s ʌ l ʌ j ə
අකුසල්,ʌ k u s ʌ l
අකුසල,ʌ k u s ʌ l ə
අකුළනවා,ʌ k u ɭ ʌ n̪ ə ʋ a
අකෘතඥයා,ʌ k ʌ ෘ t̪ ʌ ɡn ʌ j
අකෘතඥ,ʌ k ʌ ෘ t̪ ʌ ɡn ə
අකෘතහස්ත,ʌ k ʌ ෘ t̪ ʌ h ʌ s t̪ ə
අකෝණික,ʌ k oː ɳ i k ə
අඛණ්ඩතාව,ʌ kʰ ʌ ɳ ɖ ʌ t̪ aː ʋ ə
අඛණ්ඩව,ʌ kʰ ʌ ɳ ɖ ʌ ʋ ə
අඛණ්ඩ,ʌ kʰ ʌ ɳ ɖ ə
අගතිකාරී,ʌ ɡ ʌ t̪ i k aː r iː
අගතිගත,ʌ ɡ ʌ t̪ i ɡ ʌ t̪ ə
අගතිගාමී,ʌ ɡ ʌ t̪ i ɡ aː m iː
අගතිය,ʌ ɡ ʌ t̪ i j ə
අගනා,ʌ ɡ ʌ n̪
අගනුවර,ʌ ɡ ʌ n̪ u ʋ ʌ r ə
අගමැති,ʌ ɡ ʌ m æ t̪ i
අගමුල,ʌ ɡ ʌ m u l ə
අගමෙහෙසිය,ʌ ɡ ʌ m e h e s i j ə
අගයනවා,ʌ ɡ ʌ j ʌ n̪ ə ʋ a
අගයන්,ʌ ɡ ʌ j ʌ n̪
අගය,ʌ ɡ ʌ j ə
අගරජ,ʌ ɡ ʌ r ʌ ʤ ə
අගරුව,ʌ ɡ ʌ r u ʋ ə
අගරු,ʌ ɡ ʌ r u
අගලු,ʌ ɡ ʌ l u
අගල,ʌ ɡ ʌ l ə
අගස්ති,ʌ ɡ ʌ s t̪ i
අගහිඟකම,ʌ ɡ ʌ h i ŋɡ ʌ k ʌ m ə
අග්ගිස්ස,ʌ ɡ ɡ i s s ə
අග්න්‍යාශය,ʌ ɡ n̪ ‍ j aː ʃ ʌ j ə
අග්නිජාලාව,ʌ ɡ n̪ i ʤ aː l aː ʋ ə
අග්නිජ,ʌ ɡ n̪ i ʤ ə
